song_id,segment_id,combination,individual_transformations,parameters,source_file,generated_file
007,01,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",007_segment_01.json,007_segment_01.json
007,02,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",007_segment_02.json,007_segment_02.json
026,01,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",026_segment_01.json,026_segment_01.json
026,02,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",026_segment_02.json,026_segment_02.json
028,01,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",028_segment_01.json,028_segment_01.json
028,02,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",028_segment_02.json,028_segment_02.json
031,01,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",031_segment_01.json,031_segment_01.json
031,02,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",031_segment_02.json,031_segment_02.json
033,01,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",033_segment_01.json,033_segment_01.json
033,02,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",033_segment_02.json,033_segment_02.json
045,01,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",045_segment_01.json,045_segment_01.json
045,02,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",045_segment_02.json,045_segment_02.json
047,01,melody_harmony,"{""harmony"": ""chord_substitution"", ""melody"": ""transpose""}","{""harmony"": {""parameters"": {""strength"": 0.25}, ""transformation"": ""chord_substitution""}, ""melody"": {""parameters"": {""semitones"": 2}, ""transformation"": ""transpose""}}",047_segment_01.json,047_segment_01.json
